Company Names;Cars Names;Engines;HorsePower;Fuel Types;Seats;Colour
Jaguar Land Rover;Jaguar XJ50;V6 Petrol;300 hp;Petrol;5;Silver
Jaguar Land Rover;Jaguar F-Type 75th Anniversary Edition;V8 Petrol;550 hp;Petrol;2;Red
Jaguar Land Rover;Jaguar F-PACE S AWD;I4 Petrol / V6 Petrol;340 hp;Petrol;5;Blue
Jaguar Land Rover;Jaguar XE SE;I4 Petrol;250 hp;Petrol;5;Black
Jaguar Land Rover;Jaguar F-Type V6 S Convertible;V6 Petrol;380 hp;Petrol;2;Black
Jaguar Land Rover;Jaguar XE R-Sport AWD;I4 Petrol / V6 Petrol;300 hp;Petrol;5;Gray
Jaguar Land Rover;Jaguar XF Portfolio AWD;I4 Petrol / V6 Petrol;340 hp;Petrol;5;Black
Jaguar Land Rover;Jaguar F-Type Coupe R;V8 Petrol;550 hp;Petrol;2;Gray
Jaguar Land Rover;Jaguar I-PACE First Edition;Electric (Dual Motor);400 hp;Electric;5;Gray
Jaguar Land Rover;Jaguar F-PACE Prestige AWD;I4 Petrol / V6 Petrol;340 hp;Petrol;5;Red
Jaguar Land Rover;Jaguar XJ Supercharged;V8 Petrol;510 hp;Petrol;5;Gray
Jaguar Land Rover;Jaguar F-Type P450 AWD;V8 Petrol;450 hp;Petrol;2;Blue
Jaguar Land Rover;Jaguar F-PACE P400e Plug-in Hybrid;I4 Petrol + Electric Motor;398 hp;Plug-in Hybrid;5;Red
Jaguar Land Rover;Jaguar F-Type P300 Coupe;I4 Petrol;300 hp;Petrol;2;Gray
Acura;NSX Type S;Twin-Turbo V6 Hybrid;600 hp;Hybrid;2;Red
Acura;TLX PMC Edition;V6;290 hp;Petrol;5;Red
Acura;MDX Advance;V6;290 hp;Petrol;7;Green
Acura;RDX Technology;I4 Turbocharged;272 hp;Petrol;5;Gray
Acura;ILX Premium;I4;201 hp;Petrol;5;Black
Acura;TLX A-Spec;V6;290 hp;Petrol;5;White
Acura;RDX SH-AWD;I4 Turbocharged;272 hp;Petrol;5;Gray
Acura;MDX SH-AWD;V6;290 hp;Petrol;7;Green
Acura;RDX Platinum Elite;I4 Turbocharged;272 hp;Petrol;5;White
Acura;TLX A-Spec Sedan;V6;290 hp;Petrol;5;Black
Acura;TLX 2.4L;Inline-4;206 hp;Petrol;5;Black
Acura;MDX Hybrid;V6 Hybrid;321 hp;Hybrid;7;Gray
Acura;RDX Hybrid;Inline-4 Hybrid;247 hp;Hybrid;5;White
Acura;ILX Technology Package;Inline-4;201 hp;Petrol;5;Silver
Acura;NSX GT3 (Track Version);Twin-Turbo V6 Hybrid;500 hp;Hybrid;2;Blue
Acura;RDX Turbo AWD;Inline-4 Turbocharged;272 hp;Petrol;5;Gray
Acura;TLX 3.5L V6;V6;290 hp;Petrol;5;Silver
Acura;ILX Special Edition;Inline-4;201 hp;Petrol;5;Black
